,Share of energy from renewable sources,Domestic net greenhouse gas emissions,Environmental tax revenues,Wind power capacity (Kw)/1000 inhabitants,Photovoltaic capacity per inhabitant,pref
0,0.14740999999999999,8.3,13820.15,468.5,745.1,0.5135404913074066
1,0.23151,5.7,3176.26,108.9,479.6,0.3206307464013217
2,0.18586,9.1,4957.42,31.7,230.1,0.21500724775798666
3,0.43729999999999997,6.5,7716.67,1227.3,594.8,0.8756965255284181
4,0.21562,8.9,71407.0,823.6,974.3,0.21026593052222592
5,0.40950000000000003,9.5,995.14,275.3,585.7,0.4531620397289375
6,0.15243,11.1,4909.09,897.4,84.5,0.6653486651643743
7,0.25268999999999997,6.5,9257.0,502.4,619.6,0.557228046941419
8,0.24981,4.5,24640.0,640.0,636.6,0.506039329378639
9,0.22462,5.0,49859.0,328.4,230.0,0.09598244609072155
10,0.28088,5.2,2575.87,300.4,119.7,0.41958758144396124
11,0.19594,5.6,54224.0,209.1,513.6,0.005175584055087236
12,0.20213,8.6,661.05,171.1,658.2,0.3790779454174492
13,0.43223,7.8,949.88,72.8,187.5,0.2754805234552967
14,0.31926,4.4,1188.66,450.8,407.7,0.5643211342159463
15,0.14312,10.6,1016.39,314.6,611.4,0.4640374014752167
16,0.17117000000000002,5.1,4249.89,33.8,607.8,0.26875416535436053
17,0.15111,4.1,315.55,0.2,417.0,0.24869289379166365
18,0.17588,8.2,29983.0,603.5,1342.1,0.48297479570645296
19,0.41600000000000004,8.3,9533.28,433.3,570.8,0.5250519112664151
20,0.16651,8.6,19181.2,256.5,464.1,0.3110112126958602
21,0.35154,4.8,5378.36,555.0,373.0,0.5839700070705265
22,0.25782,3.0,7294.16,162.7,100.6,0.3004277804985436
23,0.25066,5.0,1791.44,1.6,488.4,0.2553850315165165
24,0.16991,5.2,2456.04,0.7,116.2,0.2016428162606186
25,0.5075,9.5,6182.0,1248.4,183.0,0.8419049615222078
26,0.66393,1.2,10856.27,1533.4,379.6,0.9890234211874955
